Anno,Titolo,Artista,Anno_ultimo_rilascio,Durata(min),Popolarità,URL immagine album,Decade,Anni_dalla_pubblicazione
1973,Dove andrai,Carmen Amato,2019,3.812,34,https://i.scdn.co/image/ab67616d0000b273b7a7da3af3b619ab10e8aa25,1970,46
1973,Elisa Elisa,Sergio Endrigo,2015,3.992,3,https://i.scdn.co/image/ab67616d0000b273a564f01b11db3949dc9479c2,1970,42
1973,Innamorata io?,Lolita,2019,3.6,0,https://i.scdn.co/image/ab67616d0000b273384067016f59ee1c81cb724f,1970,46
1973,Mistero,Gigliola Cinquetti,2024,3.083,1,https://i.scdn.co/image/ab67616d0000b273005393893cb6d2cf147c4699,1970,51
1973,Mondo mio,Christian De Sica,1973,3.883,0,https://i.scdn.co/image/ab67616d0000b273047418ceb7582ee1967e25b4,1970,0
1973,Povero,Junior Magli,2021,3.3,41,https://i.scdn.co/image/ab67616d0000b273449c7755204112883cd49434,1970,48
1973,Sugli sugli bane bane,Le Figlie del Vento,2012,2.686,10,https://i.scdn.co/image/ab67616d0000b27381aab4002ac0dbaedfc6b606,1970,39
1973,Vado via,Drupi,2000,4.088,33,https://i.scdn.co/image/ab67616d0000b2738ca951f14ecf9e78030d191e,1970,27
1973,Via Garibaldi,Toni Santagata,2021,2.354,0,https://i.scdn.co/image/ab67616d0000b2730c4712c8ca8b5fc9d9ffdf64,1970,48
1974,Ciao cara come stai?,Iva Zanicchi,2010,3.908,30,https://i.scdn.co/image/ab67616d0000b2733b30d3182152a75bb628633d,1970,36
1974,Questa è la mia vita,Domenico Modugno,2018,4.048,3,https://i.scdn.co/image/ab67616d0000b273110a64f6b973e3263813bba3,1970,44
1974,Occhi rossi,Orietta Berti,2012,2.655,0,https://i.scdn.co/image/ab67616d0000b2737065ca207d55f893004af9c1,1970,38
1974,Sta piovendo dolcemente,Anna Melato,1974,2.655,0,https://i.scdn.co/image/ab67616d0000b2739d20b13644f14cc0f6fd741d,1970,0
1974,Il mio volo bianco,Emanuela Cortesi,2005,8.075,0,https://i.scdn.co/image/ab67616d0000b2738f1578ea8afaae22f6074869,1970,31
1974,Senza titolo,Gilda Giuliani,2002,3.993,0,https://i.scdn.co/image/ab67616d0000b273fa70c917a174ed5302f628b0,1970,28
1974,Se hai paura,I Domodossola,1997,2.762,12,https://i.scdn.co/image/ab67616d0000b2737417c8ebd6b30f95d5aeff23,1970,23
1974,Mon ami Tango,Les Charlots,1974,3.315,0,https://i.scdn.co/image/ab67616d0000b2739d20b13644f14cc0f6fd741d,1970,0
1974,Notte dell'estate,Valentina Greco,2022,6.833,3,https://i.scdn.co/image/ab67616d0000b2739695dc641bf109cb9c707033,1970,48
1974,Il matto del villaggio,Nicola Di Bari,1995,3.86,8,https://i.scdn.co/image/ab67616d0000b2735128c3465802d998fe82c0a2,1970,21
1974,Ah! L'amore,Mouth & MacNeal,2014,3.314,13,https://i.scdn.co/image/ab67616d0000b273ac31509694bc7d7b46daed64,1970,40
1974,A modo mio,Gianni Nazzaro,1996,3.248,30,https://i.scdn.co/image/ab67616d0000b2735411dc4d759813bbd7000c9e,1970,22
1974,In controluce,Al Bano,2017,4.47,3,https://i.scdn.co/image/ab67616d0000b27345b8557b0037caa31b959481,1970,43
1974,Innamorati,Mino Reitano,2014,3.763,8,https://i.scdn.co/image/ab67616d0000b2737638002a52bfa3ac7f8cff7d,1970,40
1974,Un po' di coraggio,Rosanna Fratello,1974,3.718,0,https://i.scdn.co/image/ab67616d0000b273133fa13733b1c79edd830c51,1970,0
1974,Cavalli bianchi,Little Tony,1990,4.039,2,https://i.scdn.co/image/ab67616d0000b273faa16276d105d0aaebe8554a,1970,16
1974,Monica delle bambole,Milva,2016,4.422,1,https://i.scdn.co/image/ab67616d0000b27378396ae54120e8918a06f038,1970,42
1974,Sole giallo,Middle of the Road,2007,4.174,8,https://i.scdn.co/image/ab67616d0000b2734a688973b813eb065108816a,1970,33
1974,Canta con me,Kambiz,2021,2.63,44,https://i.scdn.co/image/ab67616d0000b273e1f8367a4f35d0b56dd75a56,1970,47
1974,Capelli sciolti,Donatella Rettore,1997,2.017,0,https://i.scdn.co/image/ab67616d0000b273f077c64966e5c8952e8de712,1970,23
1974,Complici,Riccardo Fogli,2006,4.23,0,https://i.scdn.co/image/ab67616d0000b273d9b0f224fc06f7a57d1e6fa8,1970,32
1974,Fiume grande,Franco Simone,1974,3.77,22,https://i.scdn.co/image/ab67616d0000b273134c10bbd73b1eca49a4d3ef,1970,0
1974,La canta,Orchestra Spettacolo Casadei,2018,3.933,0,https://i.scdn.co/image/ab67616d0000b27307da41c0664b5c4ac5cce862,1970,44
1974,Per una donna donna,Antonella Bottazzi,1978,5.75,35,https://i.scdn.co/image/ab67616d0000b273d85bf7a4e2d72d5862f4a8dc,1970,4
1974,Qui,Rossella,2012,4.526,0,https://i.scdn.co/image/ab67616d0000b273b1bb392863adf38e0f2a53f2,1970,38
1974,Ricomincerei,Sonia Gigliola Conti,2003,4.125,18,https://i.scdn.co/image/ab67616d0000b273b89d4450f77fe4b0fd94d575,1970,29
1974,Valentin tango,Piero Focaccia,1998,3.622,0,https://i.scdn.co/image/ab67616d0000b273031225d95b5c3b86c7f72093,1970,24
1975,Ragazza del sud,Gilda,2023,3.467,1,https://i.scdn.co/image/ab67616d0000b273e324a74cba99e41b17cdb648,1970,48
1975,Ipocrisia,Angela Luce,2009,3.999,20,https://i.scdn.co/image/ab67616d0000b273440556ebc0072a8ac4032ee6,1970,34
1975,Va' speranza va',Rosanna Fratello,2022,3.178,0,https://i.scdn.co/image/ab67616d0000b2738ecd7aef896b72c2f9db553c,1970,47
1975,Un grande addio,Valentina Greco,1991,2.879,0,https://i.scdn.co/image/ab67616d0000b2733b69f0911705d2ae10824cd6,1970,16
1975,E poi e poi,Laura,2009,2.186,19,https://i.scdn.co/image/ab67616d0000b27353edbc53f5e2c68d045f7ecf,1970,34
1975,Topolino piccolo,Le Nuove Erbe,2017,3.184,19,https://i.scdn.co/image/ab67616d0000b2739dac608b3c921e229370fee5,1970,42
1975,Decidi tu per me,Eugenio Alberti,2021,3.171,0,https://i.scdn.co/image/ab67616d0000b2738beeb804bcb30dfbb0e8572c,1970,46
1975,Sei stata tu,Gianni Migliardi,2025,1.941,10,https://i.scdn.co/image/ab67616d0000b273b3a9e23622033a401ee8a335,1970,50
1975,Il telegramma,Piero Cotto,2023,1.905,0,https://i.scdn.co/image/ab67616d0000b2730691e1603a6b35f43d3e14b5,1970,48
1975,Adesso basti tu,Gabriella Sanna,2014,4.002,0,https://i.scdn.co/image/ab67616d0000b273f95917c6aa63b26376b87656,1970,39
1975,Dolce abitudine,Daniela,2023,3.764,0,https://i.scdn.co/image/ab67616d0000b2733ee191cadec5e6f02dfab50f,1970,48
1975,Innamorarsi,Jean-François Michael,2002,4.572,35,https://i.scdn.co/image/ab67616d0000b2734eeab9f5dad5cc77c8686a37,1970,27
1975,Lettera,Antonella Bellan,2024,3.228,52,https://i.scdn.co/image/ab67616d0000b273b94d9d452e2fb58c761eb525,1970,49
1975,Madonna d'amore,Lorenzo Pilat,2022,4.364,1,https://i.scdn.co/image/ab67616d0000b27324b539123f0ef2bdac7b09ca,1970,47
1975,Oggi,G.Men,2014,4.66,0,https://i.scdn.co/image/ab67616d0000b27346415e803538cf11d7f3a046,1970,39
1975,Quattro stagioni,La Quinta Faccia,1977,3.897,0,https://i.scdn.co/image/ab67616d0000b2730ca0db03afd3e8bbabc0decd,1970,2
1975,Il ragioniere,Paola Folzini,1972,8.84,0,https://i.scdn.co/image/ab67616d0000b273ba21f8d68c5cce8307584859,1970,0
1975,Scarafaggi,Goffredo Canarini,2017,3.289,43,https://i.scdn.co/image/ab67616d0000b2732df142ae1a9bc420502ef056,1970,42
1975,Se nasco un'altra volta,Paola Musiani,1985,4.27,12,https://i.scdn.co/image/ab67616d0000b273d32da2a78b946665045084f5,1970,10
1975,Senza impegno,Le Volpi Blu,1998,2.733,4,https://i.scdn.co/image/ab67616d0000b2738f9b40f37818563718f4508e,1970,23
1975,Sola in due,Leila Selli,2006,9.499,3,https://i.scdn.co/image/ab67616d0000b273716c51ff01f2e57912de003b,1970,31
1975,Sotto le stelle,Nannarella,2019,3.035,34,https://i.scdn.co/image/ab67616d0000b27399078f4baff483e9ec4d3715,1970,44
1975,Tango di casa mia,Ely Neri e la sua orchestra,1974,3.161,5,https://i.scdn.co/image/ab67616d0000b27365ac82d47c00eb151743fce0,1970,0
1976,Non lo faccio più,Peppino Di Capri,2004,2.834,12,https://i.scdn.co/image/ab67616d0000b2739df12bd094963a766508551e,1970,28
1976,"Come stai, con chi sei",Wess e Dori Ghezzi,2000,3.793,14,https://i.scdn.co/image/ab67616d0000b273ebfc5bed5022c58727aaee23,1970,24
1976,Gli occhi di tua madre,Sandro Giacobbe,1997,3.967,28,https://i.scdn.co/image/ab67616d0000b273d5376827ed60e3b0b30432dd,1970,21
1976,Volo AZ 504,Albatros,1976,3.758,15,https://i.scdn.co/image/ab67616d0000b2738551ca408997e47b871aef94,1970,0
1976,Due anelli,Paolo Frescura,1978,3.929,1,https://i.scdn.co/image/ab67616d0000b273e79d21eb4ed4dd203a0a37f6,1970,2
1976,Sambariò,Drupi,1997,4.401,21,https://i.scdn.co/image/ab67616d0000b2733c9b18b1c417b91e09fe9590,1970,21
1976,Più forte,Carlo Gigli,2015,3.851,43,https://i.scdn.co/image/ab67616d0000b273a4d4c8c2b247bbb38ec6bc2a,1970,39
1976,Linda bella Linda,Daniel Sentacruz Ensemble,2007,3.713,18,https://i.scdn.co/image/ab67616d0000b273ddadaebec11e91fa25be5ca3,1970,31
1976,Cuore di vetro,Camaleonti,2008,3.955,10,https://i.scdn.co/image/ab67616d0000b27349b8a0ddd35910c4312a2c26,1970,32
1976,Omar,Orietta Berti,2025,3.429,68,https://i.scdn.co/image/ab67616d0000b2735de3684f42b7afa9b580b475,1970,49
1976,Andiamo via,La Strana Società,1996,3.501,0,https://i.scdn.co/image/ab67616d0000b2737308db481a5fad82af2ae67f,1970,20
1976,Quando c'era il mare,Sergio Endrigo,2012,4.241,1,https://i.scdn.co/image/ab67616d0000b27303adca318e4aa055fa9091e2,1970,36
1976,Signora tu,Miko,2006,3.491,37,https://i.scdn.co/image/ab67616d0000b27357a2322f7b7549fe103247f7,1970,30
1976,Che sarei,La Nuova Gente,1991,4.442,0,https://i.scdn.co/image/ab67616d0000b273fe7b7fe27dc914b433718867,1970,15
1976,E tu mi manchi,Santino Rocchetti,1996,3.628,2,https://i.scdn.co/image/ab67616d0000b273bae9c22d7bf1a89b68d2a8e4,1970,20
1976,La canzone dei poveri,Gloriana,2015,4.19,0,https://i.scdn.co/image/ab67616d0000b2735c95d7f1c0e733010c6d5dc7,1970,39
1976,La femminista,Antonio Buonomo,2012,3.933,2,https://i.scdn.co/image/ab67616d0000b2732daf54a9bbdb31f10906f735,1970,36
1976,Nata libera,Leano Morelli,1977,4.469,21,https://i.scdn.co/image/ab67616d0000b2730dfe8238bff6739e593cd457,1970,1
1976,Non due,Romina Power,2014,3.483,31,https://i.scdn.co/image/ab67616d0000b2730dfac6160d8ae426e96bdfdd,1970,38
1976,Sing My Song,Maggie Mae,2025,1.93,18,https://i.scdn.co/image/ab67616d0000b273c8c1743131484b5c1f2e7a8b,1970,49
1976,Stella cadente,Armonium,2013,3.626,0,https://i.scdn.co/image/ab67616d0000b273f357d5bb1936ecddc9be5728,1970,37
1976,Torno a casa,Vanna Leali,2018,3.556,22,https://i.scdn.co/image/ab67616d0000b273aaede16f9e70cf350cebc6df,1970,42
1976,Uomo qualunque,Ezio Maria Picciotta,2020,4.359,2,https://i.scdn.co/image/ab67616d0000b2739bfdb0a82ba97768064d747e,1970,44
1976,Vieni,Silvano Vittorio,2002,4.227,54,https://i.scdn.co/image/ab67616d0000b273e49f7d35b8f21b21defa0435,1970,26
1977,Bella da morire,Homo Sapiens,2009,3.687,36,https://i.scdn.co/image/ab67616d0000b2737e9644476d5ab81f19d6ff3d,1970,32
1977,Tu mi rubi l'anima,Collage,1996,3.491,33,https://i.scdn.co/image/ab67616d0000b273420b96ec19323034edb72054,1970,19
1977,Monica,I Santo California,1996,4.307,22,https://i.scdn.co/image/ab67616d0000b27321d77bb5fcae402467287118,1970,19
1977,Con te ci sto,Umberto Napolitano,1998,3.593,1,https://i.scdn.co/image/ab67616d0000b273065177b965f630548ccc776e,1970,21
1977,Dedicato a te,Santino Rocchetti,1999,3.977,2,https://i.scdn.co/image/ab67616d0000b273f7ed5109a65f1870fd99e298,1970,22
1977,E invece con te,Daniela Davoli,2021,3.585,0,https://i.scdn.co/image/ab67616d0000b273ff8674fe0ac3b44acdc1f7dd,1970,44
1977,Gran Premio,Albatros,1976,4.086,2,https://i.scdn.co/image/ab67616d0000b2738551ca408997e47b871aef94,1970,0
1977,Io ti porterei,Leano Morelli,1977,4.051,3,https://i.scdn.co/image/ab67616d0000b2730dfe8238bff6739e593cd457,1970,0
1977,Ma perché,Matia Bazar,1977,3.373,21,https://i.scdn.co/image/ab67616d0000b273d906b8ac0df0ffd91934c28f,1970,0
1977,Miele,Il Giardino dei Semplici,1997,3.617,29,https://i.scdn.co/image/ab67616d0000b273cb342bbdd72ea1590b394741,1970,20
1977,Carmela,Donatella Rettore,1977,4.354,10,https://i.scdn.co/image/ab67616d0000b27390b28b290e156859cfa9a454,1970,0
1977,Tesoro mio,La Strana Società,2006,4.268,0,https://i.scdn.co/image/ab67616d0000b273fc80d1ce74f1c676095d647c,1970,29
1978,...e dirsi ciao,Matia Bazar,1996,4.811,30,https://i.scdn.co/image/ab67616d0000b2730a7f4231e6bf723809e1ef9e,1970,18
1978,Un'emozione da poco,Anna Oxa,1978,4.172,44,https://i.scdn.co/image/ab67616d0000b2733db37b39b457ea6d4d581ccc,1970,0
1978,Gianna,Rino Gaetano,1978,3.883,54,https://i.scdn.co/image/ab67616d0000b273e17eb3b43553fe4b10830100,1970,0
1978,Il buio e tu,Ciro Sebastianelli,2000,3.582,4,https://i.scdn.co/image/ab67616d0000b27346d1f612503e622c678bf9f6,1970,22
1978,Tu sola,Anselmo Genovese,2011,4.12,65,https://i.scdn.co/image/ab67616d0000b2735e0bea685c0274982730765f,1970,33
1978,Armonia e poesia,Santino Rocchetti,1996,4.003,2,https://i.scdn.co/image/ab67616d0000b273bae9c22d7bf1a89b68d2a8e4,1970,18
1978,Il mio amore,Schola Cantorum,1997,3.685,1,https://i.scdn.co/image/ab67616d0000b2737a37bd75bc3a5902ac9efbfc,1970,19
1978,Domani domani,Laura Luca,1998,3.671,13,https://i.scdn.co/image/ab67616d0000b273cdbf9349b8131bb9c9b8585e,1970,20
1978,1/2 notte,Daniel Sentacruz Ensemble,2007,3.279,1,https://i.scdn.co/image/ab67616d0000b273ddadaebec11e91fa25be5ca3,1970,29
1978,Anna Anna,Donato Ciletti,1979,3.685,52,https://i.scdn.co/image/ab67616d0000b273302045c6bec32652f01d1d12,1970,1
1978,Ora,Dora Moroni,1978,3.536,1,https://i.scdn.co/image/ab67616d0000b273d45c92216a94de1d60f5b60e,1970,0
1978,Quando Teresa verrà,Marco Ferradini,1978,3.938,2,https://i.scdn.co/image/ab67616d0000b27340bb242d96863751c41b9327,1970,0
1978,Soli,Beans,1992,3.853,18,https://i.scdn.co/image/ab67616d0000b27387f22e59523ccb9574fec8ab,1970,14
1979,Amare,Mino Vergnaghi,1979,4.231,23,https://i.scdn.co/image/ab67616d0000b273c45e58d8475d27a79ecba415,1970,0
1979,Barbara,Enzo Carella,1979,4.105,40,https://i.scdn.co/image/ab67616d0000b273f03dbc81a2e97d79c75bb8a8,1970,0
1979,Quell'attimo in più,I Camaleonti,1995,3.887,4,https://i.scdn.co/image/ab67616d0000b27340ca4a9373e15bf65392f60e,1970,16
1979,La gente parla,Collage,2000,3.374,24,https://i.scdn.co/image/ab67616d0000b273b8a59208bad8b446766d2cdc,1970,21
1979,Sarà un fiore,Enrico Beruschi,1999,1.307,1,https://i.scdn.co/image/ab67616d0000b2739da6d1cfc8089851c24d4daf,1970,20
1979,A me mi piace vivere alla grande,Franco Fanigliulo,2012,3.602,4,https://i.scdn.co/image/ab67616d0000b273e150e656183c5409e03c17e7,1970,33
1979,New York,Lorella Pescerelli,2025,2.839,31,https://i.scdn.co/image/ab67616d0000b2736511fef465f84e065bc23acd,1970,46
1979,C'era un'atmosfera,Kim & The Cadillacs,1992,3.217,0,https://i.scdn.co/image/ab67616d0000b27389393d2f4fe912f40976123b,1970,13
1979,Bimba mia,Umberto Napolitano,1997,3.768,14,https://i.scdn.co/image/ab67616d0000b273365ad3a2acee5cd9bbf7d487,1970,18
1979,Tu fai schifo sempre,Pandemonium,1997,3.586,16,https://i.scdn.co/image/ab67616d0000b273ead2fd5a0651147e35eeb2c0,1970,18
1979,Nocciolino,Antoine,2014,3.578,0,https://i.scdn.co/image/ab67616d0000b27398b518e203ffa147e39e05ff,1970,35
1979,Liana,Grimm,2024,1.095,16,https://i.scdn.co/image/ab67616d0000b273e1080d78d6b9293414ac4401,1970,45
1979,Ciao Barbarella,Ciro Sebastianelli,2000,3.374,5,https://i.scdn.co/image/ab67616d0000b27346d1f612503e622c678bf9f6,1970,21
1979,Grande mago,Nicoletta Bauce,2019,3.331,2,https://i.scdn.co/image/ab67616d0000b2738148aeef267508ddba1aea1e,1970,40
1979,Il diario dei segreti,Gli Opera,2021,3,0,https://i.scdn.co/image/ab67616d0000b27340a5f51ce7aabd4d180e1c41,1970,42
1979,Impazzirò,Il Était une Fois,2020,3.42,8,https://i.scdn.co/image/ab67616d0000b27313af1e66d1f7db36dfb28a53,1970,41
1979,In due,Michele Vicino,2018,3.174,56,https://i.scdn.co/image/ab67616d0000b273cf431bdf2803b80d4225da04,1970,39
1979,"Il sole, la pioggia",Roberta,2024,2.109,3,https://i.scdn.co/image/ab67616d0000b273ba949d90ed91f6472bebf562,1970,45
1979,Talismano nero,Gianni Mocchetti,2024,7.65,2,https://i.scdn.co/image/ab67616d0000b27336f4c8f083cfa83e4d84b7a2,1970,45
1980,Solo noi,Toto Cutugno,1983,4.117,48,https://i.scdn.co/image/ab67616d0000b273d919d138f6e83aba728bd697,1980,3
1980,Ti voglio bene,Enzo Malepasso,1980,3.689,9,https://i.scdn.co/image/ab67616d0000b273be2f6bcf6ef086ab9de773b7,1980,0
1980,Su di noi,Pupo,1991,5.334,39,https://i.scdn.co/image/ab67616d0000b273db2b55e779dc09a7c0d8dafe,1980,11
1980,Mariù,Gianni Morandi,1994,3.964,2,https://i.scdn.co/image/ab67616d0000b2730137cda5feb74e8d9fa3e0f2,1980,14
1980,Più di una canzone,La Bottega dell'Arte,2010,3.891,12,https://i.scdn.co/image/ab67616d0000b2738ef11246769f3853acfd0db4,1980,30
1980,I Sing for You,Sally Oldfield,2023,2.379,53,https://i.scdn.co/image/ab67616d0000b27358ce6454e1dcb0ee2cf87de0,1980,43
1980,L'italiano,Stefano Rosso,2010,3.616,24,https://i.scdn.co/image/ab67616d0000b27385500ebb3f255cb43c735dbf,1980,30
1980,Tu mi manchi dentro,Leroy Gomez,2000,4.398,0,https://i.scdn.co/image/ab67616d0000b2737ba38f7421b88c5042f5338b,1980,20
1980,Cavallo bianco,Paolo Riviera,2014,4.213,1,https://i.scdn.co/image/ab67616d0000b273e88855448b94a92f172a047b,1980,34
1980,Gelosia,Bobby Solo,2001,3.304,11,https://i.scdn.co/image/ab67616d0000b2730a28120b6f82328ddd92b099,1980,21
1980,Contessa,Decibel,2017,3.059,27,https://i.scdn.co/image/ab67616d0000b2734d582c7641084b530fdada5e,1980,37
1980,Voglio l'erba voglio,Francesco Magni,2020,2.553,41,https://i.scdn.co/image/ab67616d0000b2733d0ebaa38ad5781f5e99da93,1980,40
1980,Canterò canterò canterò,Aldo Donati,1980,3.151,0,https://i.scdn.co/image/ab67616d0000b273e81daccf6bed52db5274f83c,1980,0
1980,Ma vai vai,Giorgio Zito e i Diesel,2021,2.523,26,https://i.scdn.co/image/ab67616d0000b2739edb671746a86a653c9e06e7,1980,41
1980,Va' pensiero,Linda Lee,2018,3.426,1,https://i.scdn.co/image/ab67616d0000b273dbc2af4ba44ccabbd91d8163,1980,38
1980,Mara,Bruno D'Andrea,2008,1.2258,0,https://i.scdn.co/image/ab67616d0000b273fd81a753d214e5c8aa6f9caa,1980,28
1980,Musica regina,Leano Morelli,1998,2.675,42,https://i.scdn.co/image/ab67616d0000b27318441065c442cd7da60e0b4a,1980,18
1980,Il sole canta,Orlando Johnson,1970,4.999,2,https://i.scdn.co/image/ab67616d0000b273d04fac48fa3c13349515bc3c,1980,0
1980,Passerà,Alberto Cheli,2021,2.767,38,https://i.scdn.co/image/ab67616d0000b273748c53acf756d40368d3de38,1980,41
1980,Tu cioè...,Peppino di Capri,2012,2.306,1,https://i.scdn.co/image/ab67616d0000b2736d63cde828b29db88ccc94a0,1980,32
1980,Amor mio... sono me!,Omelet,2010,3.653,1,https://i.scdn.co/image/ab67616d0000b27397a2aca55cc60c0f27e790ac,1980,30
1980,Dal metrò a New York,Henry Freis,1973,1.7,0,https://i.scdn.co/image/ab67616d0000b27398124ce08861243c4cce1b79,1980,0
1980,Dammi le mani,Mela Lo Cicero,2022,2.978,7,https://i.scdn.co/image/ab67616d0000b273c37837591ac351fd61882e4f,1980,42
1980,Ritagli di luce,Latte e Miele,2013,1.0158,0,https://i.scdn.co/image/ab67616d0000b2731ebcc44256782bb927ad6430,1980,33
